Species,Source,Date,Location,sample,BioSample,Estado,Região
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217015.2,SAMN00254340,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Lauro de Freitas,GCA_000216995.2,SAMN00254338,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216975.2,SAMN00254341,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216955.2,SAMN00254342,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216935.2,SAMN00254343,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216915.2,SAMN00254344,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216895.2,SAMN00254345,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216875.2,SAMN00254346,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216855.2,SAMN00254348,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216835.2,SAMN00254347,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216815.2,SAMN00254349,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Lauro de Freitas,GCA_000216795.2,SAMN00254350,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216775.2,SAMN00254351,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Itaparica,GCA_000216755.2,SAMN00254352,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216735.2,SAMN00254354,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216715.2,SAMN00254353,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216695.2,SAMN00254355,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216675.2,SAMN00254356,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216635.2,SAMN00254358,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216615.2,SAMN00254359,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216575.2,SAMN00254361,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216555.2,SAMN00254364,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216535.2,SAMN00254362,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000216515.2,SAMN00254363,BA,Nordeste
Listeria monocytogenes,clinical (CSF of newborn),1983.0,Brazil,,SAMEA5402526,,
Listeria monocytogenes,clinical (placenta),1978.0,Brazil,,SAMEA5402527,,
Listeria monocytogenes,clinical (CSF),1989.0,Brazil,,SAMEA5402528,,
Listeria monocytogenes,"clinical (blood, patient with lymphoma)",2008.0,Brazil,GCA_009299435.1,SAMEA5402529,,
Listeria monocytogenes,"clinical (CSF, meningitis)",1982.0,Brazil,,SAMEA5402530,,
Listeria monocytogenes,clinical (blood of kidney transplantation),1985.0,Brazil,,SAMEA5402531,,
Listeria monocytogenes,clinical (blood of kidney transplantation),1985.0,Brazil,,SAMEA5402532,,
Listeria monocytogenes,clinical (CSF),1997.0,Brazil,,SAMEA5402533,,
Listeria monocytogenes,clinical (CSF of of stillbirth),2007.0,Brazil,,SAMEA5402534,,
Listeria monocytogenes,clinical (blood newborn sepsis),2004.0,Brazil,,SAMEA5402535,,
Listeria monocytogenes,clinical (CSF),1990.0,Brazil,,SAMEA5402536,,
Listeria monocytogenes,clinical (CSF),1989.0,Brazil,,SAMEA5402537,,
Listeria monocytogenes,clinical (blood of kidney transplantation),1985.0,Brazil,,SAMEA5402538,,
Listeria monocytogenes,clinical (CSF),2000.0,Brazil,,SAMEA5402539,,
Listeria monocytogenes,,1961.0,Brazil,GCA_026551035.1,SAMN31902355,,
Listeria monocytogenes,cerebrospinal fluid,2023.0,"Goias, Goiania",GCA_052400005.1,SAMN50774753,GO,Centro-oeste
Listeria monocytogenes,blood,2022.0,"Goias, Goiania",GCA_052400025.1,SAMN50774752,GO,Centro-oeste
Listeria monocytogenes,cerebrospinal fluid,2014.0,"Santa Catarina, Florianopolis",GCA_052400045.1,SAMN50774751,SC,Sul
Listeria monocytogenes,blood,2025.0,"Sao Paulo, Sao Paulo",GCA_052400065.1,SAMN50774750,SP,Sul
Listeria monocytogenes,cerebrospinal fluid,2025.0,"Sao Paulo, Sao Paulo",GCA_052400085.1,SAMN50774749,SP,Sul
Listeria monocytogenes,blood,2024.0,"Sao Paulo, Sao Paulo",GCA_052400105.1,SAMN50774748,SP,Sul
Listeria monocytogenes,blood,2024.0,"Sao Paulo, Sao Paulo",GCA_052400145.1,SAMN50774747,SP,Sul
Listeria monocytogenes,cerebrospinal fluid,2023.0,"Sao Paulo, Mirandopolis",GCA_052400165.1,SAMN50774746,SP,Sul
Listeria monocytogenes,blood,2022.0,"Goias, Goiania",GCA_052400185.1,SAMN50774744,GO,Centro-oeste
